text,label
My wife told me to stop impersonating a flamingo I had to put my foot down,1
I went to buy some camo pants but couldn’t find any,1
I failed math so many times at school I can’t even count,1
I used to have a handle on life but then it broke,1
I was wondering why the frisbee kept getting bigger and bigger but then it hit me,1
I heard there were a bunch of break-ins over at the car park That is wrong on so many levels,0
I want to die peacefully in my sleep like my grandfather… Not screaming and yelling like the passengers in his car,0
 When life gives you melons you might be dyslexic,1
 Don’t you hate it when someone answers their own questions? I do,0
 It takes a lot of balls to golf the way I do,1
 I told him to be himself; that was pretty mean I guess,0
 I know they say that money talks but all mine says is ‘Goodbye’,1
 My father has schizophrenia but he’s good people,0
 The problem with kleptomaniacs is that they always take things literally,1
 I can’t believe I got fired from the calendar factory All I did was take a day off,1
 Most people are shocked when they find out how bad I am as an electrician,1
 Never trust atoms; they make up everything,1
 My wife just found out I replaced our bed with a trampoline She hit the ceiling!,1
 I was addicted to the hokey pokey but then I turned myself around,1
 I used to think I was indecisive But now I’m not so sure,1
 Russian dolls are so full of themselves,1
 The easiest time to add insult to injury is when you’re signing someone’s cast,1
 Light travels faster than sound which is the reason that some people appear bright before you hear them speak,1
 My therapist says I have a preoccupation for revenge We’ll see about that,0
 A termite walks into the bar and asks ‘Is the bar tender here?’,1
 A told my girlfriend she drew her eyebrows too high She seemed surprised,0
 People who use selfie sticks really need to have a good long look at themselves,0
 Two fish are in a tank One says ‘How do you drive this thing?’,1
 I always take life with a grain of salt And a slice of lemon And a shot of tequila,1
 Just burned  calories That’s the last time I leave brownies in the oven while I nap,0
 Always borrow money from a pessimist They’ll never expect it back,1
 Build a man a fire and he’ll be warm for a day Set a man on fire and he’ll be warm for the rest of his life,0
 I don’t suffer from insanity—I enjoy every minute of it,1
 The last thing I want to do is hurt you; but it’s still on the list,1
 The problem isn’t that obesity runs in your family It’s that no one runs in your family,1
 Today a man knocked on my door and asked for a small donation toward the local swimming pool I gave him a glass of water,1
 I’m reading a book about anti-gravity It’s impossible to put down,1
 ‘Doctor there’s a patient on line one that says he’s invisible’ Tell him I can't see him right now,0
 Atheism is a non-prophet organization,0
 A recent study has found that women who carry a little extra weight live longer than the men who mention it,0
 The future the present and the past walk into a bar Things got a little tense,1
 Before you criticize someone walk a mile in their shoes That way when you do criticize them you’re a mile away and you have their shoes,1
 Last night my girlfriend was complaining that I never listen to her… or something like that,0
 Maybe if we start telling people their brain is an app they’ll want to use it,0
 If a parsley farmer gets sued can they garnish his wages?,1
 I got a new pair of gloves today but they’re both ‘lefts’ which on the one hand is great but on the other it’s just not right,1
 I didn’t think orthopedic shoes would help but I stand corrected,1
 I was riding a donkey the other day when someone threw a rock at me and I fell off I guess I was stoned off my ass,0
 People who take care of chickens are literally chicken tenders,1
 It was an emotional wedding Even the cake was in tiers,1
 I just got kicked out of a secret cooking society I spilled the beans,1
 What’s a frog’s favorite type of shoes? Open toad sandals,0
 Blunt pencils are really pointless,1
 : is the best time on a clock hands down,0
 Two wifi engineers got married The reception was fantastic,1
 Just got fired from my job as a set designer I left without making a scene,1
 What’s the difference between ignorance and apathy? I don’t know and I don’t care,0
 One of the cows didn’t produce milk today It was an udder failure,1
 Adam & Eve were the first ones to ignore the Apple terms and conditions,1
 Refusing to go to the gym is a form of resistance training,0
 If attacked by a mob of clowns go for the juggler,1
 The man who invented Velcro has died RIP,1
 Despite the high cost of living it remains popular,0
 A dung beetle walks into a bar and asks ‘Is this stool taken?’,1
 I can tell when people are being judgmental just by looking at them,0
 The rotation of Earth really makes my day,1
 Well to be Frank with you I’d have to change my name,0
 My friend was explaining electricity to me but I was like ‘Watt?’,1
 What if there were no hypothetical questions?,0
 Are people born with photographic memories or does it take time to develop?,1
 The world champion tongue twister got arrested I hear they’re going to give him a tough sentence,1
 Pollen is what happens when flowers can’t keep it in their plants,1
 A book fell on my head the other day I only have my shelf to blame though,1
 Communist jokes aren’t funny unless everyone gets them,1
 Geology rocks but geography’s where it’s at,0
 I buy all my guns from a guy called T-Rex He’s a small arms dealer,0
 My friend’s bakery burned down last night Now his business is toast,1
 Four fonts walk into a bar The bartender says ‘Hey! We don’t want your type in here!’,1
 If you don’t pay your exorcist do you get repossessed?,1
 When the cannibal showed up late to the buffet they gave him the cold shoulder,0
 A Mexican magician tells the audience he will disappear on the count of three He says ‘Uno dos…” and poof! He disappeared without a tres,1
 Fighting for peace is like screwing for virginity,0
 A ghost walked into a bar and ordered a shot of vodka The bartender said ‘Sorry we don’t serve spirits here’,1
 The man who invented knock-knock jokes should get a no bell prize,1
 I bought the world’s worst thesaurus yesterday Not only is it terrible it’s also terrible,1
 A blind man walked into a bar… and a table… and a chair…,0
 A Freudian slip is when you mean one thing and mean your mother,0
 I went to a seafood disco last week but ended up pulling a mussel,0
 The first time I got a universal remote control I thought to myself ‘This changes everything’,1
 How do you make holy water? You boil the hell out of it,1
 I saw a sign the other day that said ‘Watch for children’ and I thought ‘That sounds like a fair trade’,1
 Whiteboards are remarkable,1
 I threw a boomerang a couple years ago; I know live in constant fear,0
 I put my grandma on speed dial the other day I call it insta-gram,1
 I have a few jokes about unemployed people but none of them work,1
 ‘I have a split personality’ said Tom being Frank,1
" My teachers told me I'd never amount to much because I procrastinate so much I told them ""Just you wait!""",0
 Will glass coffins be a success? Remains to be seen,1
 Did you hear about the guy whose whole left side got amputated? He’s all right now,0
 The man who survived both mustard gas and pepper spray is a seasoned veteran now,1
 Have you heard about the new restaurant called ‘Karma?’ There’s no menu—you get what you deserve,0
I want to be cremated as it is my last hope for a smoking hot body,1
 To the guy who invented zero thanks for nothing,1
 Ladies if he can’t appreciate your fruit jokes you need to let that mango,0
 Geology rocks but Geography is where it’s at!,0
 I don’t trust stairs because they’re always up to something,1
 Smaller babies may be delivered by stork but the heavier ones need a crane,1
 My grandpa has the heart of the lion and a lifetime ban from the zoo,1
 I lost my mood ring and I don't know how to feel about it!,1
 Yesterday I accidentally swallowed some food coloring The doctor says I’m okay but I feel like I’ve dyed a little inside,1
 So what if I don’t know what apocalypse means? It’s not the end of the world!,0
